review,stars,,
"So excited to get these awesome earphones! Amazing sound quality. The product quality is also great, wires are of great material and not thin. Fits perfectly in the ears. Just love this product. The package contains a pair of earphones, charging cable, extra sets of earplugs (Small and Large sizes, as the Medium size is already fir into the earphones) and a small portable pouch for carrying your earphones.",5,,
Thank you Bose. The best wireless earbuds I've own. High quality you can tell a lot of thought has been put into this product. It's worth every penny. Highly recommend Bose SoundSport Wireless.,5,,
"I purchased these for my son, originally he used them daily and loved them, used them around the house as well as when he was mowing as the sound was great quality and he could hear his music. Over the last year the battery life has gone down to less than 1 hour of use time and they don't re charge well at all. Now they barely hold a charge for the 45 minutes he mows. For the hefty price I paid for these they should last longer than 18 months. I would not recommend.",1,,
"These headphones provide a firm fit and will not fall out, and the sound is high quality. Regarding product quality, these are very poor.

Like most reviews state, these headphones are plagued with battery issues, and begin to fall apart fairly quickly. They are also prone to volume imbalances between the sides. I?ve owned two pairs with the same experience on each. On the second pair I had hoped Bose had fixed the issues, since it was a year later. They had not.

It?s unfortunate, because although Bose has always had more expensive products, it was a safe bet you would get your money?s worth. That is not the case for these.",1,,
"I purchased this for my gf June 2018. It started having battery issues in August 2019 which is after the 1-year warranty expires.

The generation after this is completely wireless and has numerous reports of connection issues, so I went with this model.

I recommend buying something else.",1,,
"These do not stay in your ears, I don?t think they would fit any human ear, I ended up returning",1,,
"This product started it ""Great""! Nice sounds, nice battery time, nice volume. To months ago it's volume was getting lower and lower. Now I'm at the point where I can barely hear it over noises at work. I've treated this pair like it was a baby cause the price was on the more expensive side for earbuds. Bose is awesome for home stereo equipment, but lacks long term quality for these earbuds. For the price I could have bought my old Jaybirds twice which lasted a year before they broke. Don't splurge on this item unless you can afford new ones every 3 months.",1,,
"I am very disappointed in this purchase.

My left earbud has gone completely silent, despite treating with care and purchasing my pair less than two weeks ago. The sound quality is decent but not worth the price. The buds are very large - you will not forget that you?re wearing them. The maximum battery does not even last one work day.",1,,
"It came last night in a bag and didn't think anything of it. Turned it on and the headphones were trying to connect to, ""Sean's Phone"" I thought sure ok I can fix that took it out of my ear and took out the buds and IT HAD SOMEONE ELSES EAR WAX CAKED ON AND, AND, AND EAR HAIRS!!! I washed my ears three times last night. That is unacceptable!!! THE PRODUCT I BOUGHT WAS SOILED!!! Shame!",1,,
"I just used it about 6 months, The rubber of the cable near the base of the earphone was broken.",1,,
This is my second pair and these only lasted 9 months and the first pair only lasted 6 months. Not worth it!,1,,
"Pairing:
Pairing was great. I used them with an Android Pixel XL and no problem. Plus you can also use NFC to pair them which is a great plus.
This said, I downloaded the app and it was useless as I could not initially pair my headphones to it – it kept telling me to put them in pairing mode, which I would, but it still would not pair. I use these w/o the mobile app.

Sound:
Sound was EASILY the best of the bunch – I tried 5 headsets (see other reviews). The bass is deep. Maybe this is possible because they are so huge in your ear!

Fit:
Fit excellent once on the ear – also the best of all I tried. Super fast and easy to put in and out and I love the clip on the back to ensure you don’t loose them. I lost my last set (Epic 2s) because although they were wrapped over my neck, I forgot about them and they fell off. Use the clip!

These are HUGE buds though. Silly Huge. But the trade off is the great sound i guess.

Call Quality:
I know its not their primary function but call quality (on receiver end) was terrible. It seems there is no mic function at all I have to hold the phone up to my face, which defeats the purpose of hands free.

Overall, of all the sets I tried, these were the ones I picked. As a bonus I got a cyber Monday deal and got them for $99!

My only complaint (other than call quality) is I wish they were slightly smaller, and the battery lasted longer. It seems to drain much faster than all the others I tried.

I have also tried Apple Airpods, Bose Soundsport, Epic 2 BT, and the LG HBS730, and Jaba Elite. See other reviews, but the bose were my final choice with the Epic a close second.",5,,
"These replaced my wired Bose in-ear buds. I've been a Bose fan for many years and own over the ear QC2's, MIE2's, a sound bar and other Bose devices that I enjoy. I like the sound of the wired MIE2 but I wanted to cut the cord for more freedom while wearing my ear buds. These do exactly what I had hoped. The ""stay hear+"" tips are a definite improvement over the older version. I insert them into my ear and twist the bud gently rearward to provide a solid hold. These buds are NOT noise cancelling but the design of the tips keeps out quite a bit more noise than the older design. Pairing to my MacBook, iPad, iPhone and smart tv was simple. The best part is the sound. Both voice and music are pleasantly balanced across the frequency range. I had a cheap pair of wireless I bought last year (<$30) and the sound on those is like listening through a tin can. I did like the freedom of wireless though. What a difference the SoundSports are. Many have noted the size of the bud being large. It is a bit big but that really doesn't detract from the design or comfort. My only concern would be the interference you might get trying to wear them inside a bike or cycle helmet. Haven't tried that yet. The on/off and pairing control mounted on the right bud is easy to find but maybe a bit ""mushy"" to the touch. The inline control for volume and phone response is easily accessible and intuitive but also a bit soft. Not a serious issue by any means but be aware. The alligator clip to secure the headphones to your shirt is an improvement over the old style but still can pull off the cord fairly easily. Despite these few minor flaws I give these Bose SoundSport headphones a full five star rating. You won't be disappointed.",5,,
"I just got these in yesterday so I can’t write a great review YET.
First, I can’t believe I spent $200 on a pair of headphones but I do use my headphones a LOT so I was able to justify the splurge.
This is the first pair of “high end” headphones that I’ve bought so my experience is limited. I’m comparing mostly to LG HBS850.
The first thing I noticed was how big the ear pieces are. They are pretty large and protrude out of your ears quite a bit. The LG ear piece is tiny in comparison(see image). I thought there would be no way the things were staying in my ears, however, they are MUCH more comfortable than the LG ear pieces. I didn’t even realize how uncomfortable the LGs were. The Bose ear piece doesn’t actually go inside your ear canal like the LG does. With this type of earpiece, the Bose is not quite noise canceling(nor is it supposed to be).
Some of the reviews say the Bose don’t get loud enough. Since they don’t actually go inside the ear canal and create a seal like the LGs and other internal earbuds do, it does seem like they don’t get quite as loud, however, they do get plenty loud. They just don’t get so loud that it hurts. If you want that, youu probably should go with the Beats.
They connected to my iPhone 7 effortlessly. A mere click( we’ll more of a mushy push) of the power button and voila there it was on my phone.
Then came the sound test. Oh my goodness!! They sound amazing. I can’t believe the difference in the sound quality between these and the LGs.
It’s like the difference in monaural and stereophonic sound. The bass is very strong. I’m no techy person so I can’t really go into detail about how great the sound is but it is amazing.
So that’s about all I can say for now. I will update more about the quality after I’ve used them for a while.",5,,
"First off let me give you an idea on how often I use these. Everyday for at least 3 to 6 hours. So I’m constantly pressing the pause/play button. That being said, This is now my second pair of these headphones. I only have two qualms; first the rubber around the volume/next button wears out and there’s no way to fix it (I tried crazy glue). Second, the actual Bluetooth range is maybe 10 ft. I have a very small house, only 900sqft, And placing the phone in the center of the house didn’t work either. Even with those two qualms I can’t give these a bad review because I love these wireless headphone. Bose has always delivered exceptional sound quality! If you like them as much as me buying a second or third pair doesn’t seem so bad. Bose has spoiled me so the $20 version of these won’t do!",5,,
"I've only had them for two days, but I'm really happy I got them. Read all the reviews of these and others, weighed the pros and cons. I was on the fence, knowing the sound quality of my old wired version and if I wanted to upgrade. But it comes down to this for those that had the wired sound sports before, of all headphones I've had, shure, etymonics, the Bose are the most comfortable. They are not sound isolating, but they are fantastic for runs and long wear time. That considered, and any difference in sound, these are so comfortable and the perfect step from my prior wired versions. Might get the sound true for when I need quiet, but these are great and and fantastic (maybe not a good as my old shure's).",5,,
"1/15/18 UPDATE: I have been keeping a record of my use of these ear buds and am amazed. I am finding that the battery is lasting for close to 10 hours....... I currently have used 8 hours and still have 20 % off of a full charge. These are the best earbuds on the market. I not only use them to listen to my music, but when I can't sleep I listen to the TV with them thru my phone. Really fantastic.... and so easily paired with devices. GET THEM THEY WILL BE THE LAST ONES YOU EVER NEED TO BUY......

The best ear buds I have ever had. I have very small ears and I have a very hard time finding ones that stay in my ears and no not hurt them after a time of usage. I thought I would try these because I am a Bose person. They are FANTASTIC.... very very comfortable and no matter what I do they do not come out of my ears. I wore them for 6 hours straight and never even felt them in. The sound is Bose quality. Not like my Noise cancelling new ones, but extremely close to the sound quality (-) the noise cancellation.
The small fit perfect in my tiny ears
Even shaking my head.",5,,
"I've used Bose wire ear buds for years and love them. Very comfortable and great sound.
But like everything else, if you use them a lot, they will wear out some how.
I recently ""inherited"" my daughters iPhone 7 Plus and needed a wireless solution. After researching ear buds, I settled on Jabra 65t's.
They were nice, sounded good and had the features I wanted. Unfortunately, I could not keep them from falling out, even after trying to use foam ear tips. I sent the Jabras back.
I didn't want the Frankenstein Bose wireless buds, so settled on these, even though they are wired together.
These fit similarly to the wired Bose that I have and do not fall out!
Sound is great and longevity will tell with time.
I will update this review if things change.",5,,
